Date,EnergyMet,HydroGen,WindGen,SolarGen,Coal,Lignite,Nuclear,Gas,RES
2020-01-01,3380.0,280.0,123.0,111.0,2571.0,78.0,110.0,106.0,320.0
2020-01-02,3383.0,298.0,91.0,109.0,2601.0,81.0,110.0,104.0,287.0
2020-01-03,3390.0,295.0,64.0,118.0,2627.0,86.0,101.0,106.0,267.0
2020-01-04,3388.0,299.0,53.0,122.0,2680.0,81.0,101.0,107.0,211.0
2020-01-05,3271.0,273.0,91.0,112.0,2531.0,84.0,97.0,96.0,282.0
2020-01-06,3397.0,307.0,124.0,105.0,2593.0,78.0,97.0,97.0,316.0
2020-01-07,3442.0,307.0,98.0,96.0,2663.0,76.0,97.0,101.0,286.0
2020-01-08,3391.0,271.0,83.0,122.0,2651.0,77.0,97.0,99.0,289.0
2020-01-09,3403.0,289.0,102.0,139.0,2601.0,75.0,95.0,98.0,330.0
2020-01-10,3455.0,274.0,171.0,143.0,2582.0,74.0,95.0,105.0,409.0
2020-01-11,3457.0,273.0,128.0,138.0,2619.0,76.0,98.0,107.0,355.0
2020-01-12,3364.0,256.0,82.0,137.0,2607.0,74.0,92.0,103.0,301.0
2020-01-13,3421.0,297.0,59.0,128.0,2666.0,81.0,92.0,99.0,272.0
2020-01-14,3376.0,305.0,42.0,149.0,2609.0,80.0,98.0,96.0,272.0
2020-01-15,3301.0,269.0,94.0,150.0,2510.0,77.0,108.0,94.0,328.0
2020-01-16,3265.0,276.0,88.0,144.0,2469.0,79.0,92.0,95.0,321.0
2020-01-17,3349.0,290.0,54.0,146.0,2568.0,83.0,89.0,104.0,277.0
2020-01-18,3377.0,287.0,78.0,138.0,2591.0,81.0,97.0,102.0,295.0
2020-01-19,3270.0,269.0,115.0,135.0,2445.0,80.0,92.0,97.0,334.0
2020-01-20,3459.0,309.0,90.0,136.0,2605.0,86.0,83.0,111.0,312.0
2020-01-21,3527.0,301.0,102.0,151.0,2656.0,84.0,89.0,114.0,334.0
2020-01-22,3534.0,283.0,197.0,150.0,2570.0,80.0,96.0,105.0,447.0
2020-01-23,3544.0,291.0,173.0,141.0,2595.0,86.0,96.0,100.0,420.0
2020-01-24,3576.0,306.0,102.0,158.0,2685.0,85.0,97.0,103.0,348.0
2020-01-25,3567.0,314.0,49.0,151.0,2692.0,89.0,97.0,111.0,277.0
2020-01-26,3347.0,274.0,38.0,154.0,2569.0,85.0,94.0,97.0,270.0
2020-01-27,3507.0,295.0,87.0,139.0,2683.0,82.0,96.0,103.0,305.0
2020-01-28,3548.0,298.0,100.0,136.0,2711.0,78.0,97.0,104.0,312.0
2020-01-29,3534.0,307.0,47.0,139.0,2744.0,83.0,97.0,100.0,266.0
2020-01-30,3553.0,312.0,57.0,161.0,2732.0,89.0,97.0,105.0,289.0
2020-01-31,3580.0,305.0,62.0,163.0,2744.0,91.0,97.0,102.0,299.0
2020-02-01,3524.0,279.0,100.0,156.0,2663.0,92.0,96.0,102.0,337.0
2020-02-02,3421.0,260.0,148.0,144.0,2544.0,83.0,97.0,102.0,378.0
2020-02-03,3548.0,301.0,92.0,151.0,2654.0,85.0,96.0,113.0,329.0
2020-02-04,3590.0,292.0,80.0,144.0,2757.0,81.0,96.0,111.0,304.0
2020-02-05,3609.0,291.0,86.0,148.0,2767.0,78.0,97.0,112.0,314.0
2020-02-06,3632.0,299.0,86.0,159.0,2797.0,80.0,97.0,107.0,318.0
2020-02-07,3636.0,298.0,87.0,151.0,2802.0,87.0,91.0,114.0,311.0
2020-02-08,3596.0,286.0,126.0,136.0,2717.0,96.0,88.0,112.0,351.0
2020-02-09,3439.0,264.0,127.0,144.0,2601.0,93.0,84.0,108.0,348.0
2020-02-10,3552.0,269.0,142.0,139.0,2680.0,92.0,89.0,115.0,365.0
2020-02-11,3645.0,292.0,156.0,140.0,2724.0,98.0,98.0,114.0,384.0
2020-02-12,3666.0,301.0,145.0,142.0,2759.0,96.0,84.0,115.0,376.0
2020-02-13,3671.0,287.0,84.0,154.0,2836.0,96.0,80.0,123.0,321.0
2020-02-14,3669.0,300.0,59.0,172.0,2843.0,93.0,79.0,120.0,304.0
2020-02-15,3655.0,298.0,31.0,171.0,2869.0,87.0,81.0,124.0,276.0
2020-02-16,3571.0,265.0,81.0,174.0,2754.0,82.0,93.0,116.0,330.0
2020-02-17,3699.0,296.0,106.0,176.0,2798.0,90.0,94.0,126.0,362.0
2020-02-18,3745.0,305.0,71.0,175.0,2875.0,93.0,100.0,137.0,317.0
2020-02-19,3757.0,314.0,86.0,165.0,2869.0,92.0,99.0,129.0,326.0
2020-02-20,3718.0,313.0,148.0,164.0,2770.0,92.0,100.0,128.0,386.0
2020-02-21,3599.0,294.0,148.0,158.0,2672.0,94.0,100.0,114.0,388.0
2020-02-22,3609.0,288.0,159.0,161.0,2669.0,98.0,101.0,113.0,400.0
2020-02-23,3506.0,286.0,133.0,164.0,2618.0,90.0,101.0,107.0,366.0
2020-02-24,3617.0,322.0,93.0,153.0,2744.0,90.0,100.0,122.0,318.0
2020-02-25,3634.0,318.0,62.0,152.0,2770.0,94.0,100.0,124.0,286.0
2020-02-26,3632.0,315.0,75.0,160.0,2789.0,88.0,100.0,126.0,302.0
2020-02-27,3630.0,327.0,87.0,155.0,2732.0,78.0,101.0,134.0,314.0
2020-02-28,3683.0,332.0,115.0,157.0,2734.0,74.0,100.0,147.0,344.0
2020-02-29,3587.0,326.0,104.0,153.0,2700.0,77.0,100.0,138.0,326.0
2020-03-01,3378.0,269.0,102.0,155.0,2514.0,79.0,100.0,138.0,326.0
2020-03-02,3565.0,306.0,64.0,153.0,2712.0,86.0,104.0,139.0,291.0
2020-03-03,3635.0,330.0,83.0,153.0,2750.0,85.0,106.0,141.0,316.0
2020-03-04,3591.0,317.0,115.0,158.0,2679.0,79.0,105.0,136.0,351.0
2020-03-05,3533.0,320.0,129.0,147.0,2617.0,76.0,105.0,139.0,355.0
2020-03-06,3387.0,295.0,129.0,135.0,2514.0,73.0,106.0,125.0,340.0
2020-03-07,3410.0,291.0,46.0,147.0,2626.0,83.0,105.0,118.0,266.0
2020-03-08,3349.0,287.0,68.0,152.0,2541.0,79.0,106.0,123.0,292.0
2020-03-09,3383.0,294.0,93.0,144.0,2518.0,84.0,105.0,127.0,322.0
2020-03-10,3084.0,271.0,137.0,162.0,2220.0,73.0,105.0,101.0,370.0
2020-03-11,3217.0,299.0,136.0,148.0,2337.0,78.0,105.0,94.0,365.0
2020-03-12,3391.0,317.0,119.0,153.0,2501.0,84.0,105.0,105.0,350.0
2020-03-13,3434.0,321.0,78.0,162.0,2547.0,87.0,105.0,127.0,312.0
2020-03-14,3413.0,310.0,100.0,161.0,2515.0,85.0,110.0,141.0,335.0
2020-03-15,3316.0,287.0,134.0,158.0,2399.0,84.0,118.0,135.0,367.0
2020-03-16,3494.0,332.0,132.0,164.0,2501.0,86.0,121.0,146.0,377.0
2020-03-17,3586.0,325.0,116.0,168.0,2601.0,89.0,123.0,154.0,357.0
2020-03-18,3605.0,315.0,75.0,176.0,2670.0,89.0,126.0,154.0,321.0
2020-03-19,3594.0,315.0,65.0,165.0,2698.0,87.0,127.0,152.0,294.0
2020-03-20,3565.0,309.0,116.0,166.0,2589.0,88.0,128.0,137.0,349.0
2020-03-21,3495.0,303.0,88.0,174.0,2538.0,87.0,129.0,159.0,325.0
2020-03-22,3030.0,265.0,61.0,159.0,2211.0,76.0,127.0,131.0,276.0
2020-03-23,3113.0,291.0,60.0,157.0,2311.0,75.0,122.0,118.0,270.0
2020-03-24,2975.0,288.0,71.0,155.0,2149.0,76.0,121.0,128.0,275.0
2020-03-25,2777.0,272.0,88.0,148.0,1945.0,76.0,121.0,132.0,280.0
2020-03-26,2652.0,297.0,121.0,139.0,1801.0,72.0,117.0,114.0,302.0
2020-03-27,2592.0,298.0,89.0,154.0,1744.0,73.0,116.0,123.0,287.0
2020-03-28,2629.0,304.0,76.0,178.0,1742.0,75.0,123.0,130.0,300.0
2020-03-29,2640.0,334.0,83.0,174.0,1728.0,75.0,123.0,126.0,299.0
2020-03-30,2665.0,339.0,99.0,174.0,1727.0,78.0,122.0,136.0,316.0
2020-03-31,2705.0,322.0,118.0,166.0,1769.0,85.0,119.0,137.0,331.0
2020-04-01,2731.0,332.0,89.0,170.0,1799.0,85.0,115.0,148.0,306.0
2020-04-02,2787.0,328.0,81.0,175.0,1879.0,82.0,115.0,150.0,311.0
2020-04-03,2794.0,330.0,96.0,173.0,1869.0,77.0,113.0,161.0,320.0
2020-04-04,2791.0,325.0,74.0,159.0,1901.0,80.0,111.0,154.0,293.0
2020-04-05,2752.0,319.0,97.0,156.0,1851.0,75.0,111.0,154.0,311.0
2020-04-06,2757.0,296.0,79.0,156.0,1895.0,78.0,110.0,155.0,294.0
2020-04-07,2727.0,301.0,113.0,150.0,1835.0,75.0,115.0,156.0,318.0
2020-04-08,2717.0,300.0,92.0,166.0,1838.0,78.0,115.0,146.0,303.0
2020-04-09,2695.0,291.0,85.0,159.0,1846.0,78.0,115.0,146.0,299.0
2020-04-10,2717.0,301.0,75.0,163.0,1865.0,82.0,115.0,136.0,287.0
2020-04-11,2800.0,329.0,69.0,171.0,1924.0,85.0,116.0,132.0,290.0
2020-04-12,2819.0,348.0,84.0,163.0,1908.0,86.0,114.0,127.0,307.0
2020-04-13,2913.0,360.0,117.0,159.0,1955.0,81.0,105.0,143.0,342.0
2020-04-14,2977.0,371.0,125.0,156.0,1985.0,77.0,106.0,167.0,346.0
2020-04-15,2938.0,388.0,94.0,159.0,1965.0,77.0,106.0,160.0,318.0
2020-04-16,2969.0,388.0,104.0,150.0,1993.0,78.0,107.0,162.0,319.0
2020-04-17,2986.0,397.0,109.0,151.0,1985.0,74.0,107.0,166.0,324.0
